title,key,tempo,danceability,loudness,acousticness,duration_ms,year,uri,playlist,id,energy,liveness,time_signature,valence,instrumentallness,mode,speechiness
The Battle Of New Orleans,A,177.283,0.703,-10.983,0.764,151627,1959,spotify:track:0dwpdcQkeZqpuoAPYD49N3,Billboard Hot 100 1959,02TL57GB0YFYSR03LAY8RV3W1,0.776,0.0988,4,0.921,0,major,0.139
Mack the Knife,E flat,82.755,0.549,-12.291,0.76,184333,1959,spotify:track:3E5ndyOfO6vFDEIE42HA8o,Billboard Hot 100 1959,K7UGCN2DJIQPS2LJ2DA3RE49W,0.529,0.206,4,0.464,0,minor,0.108
Personality,F,128.909,0.591,-8.936,0.744,157733,1959,spotify:track:5vjigjfoXuJEttqLB3HTAg,Billboard Hot 100 1959,WRJFTEDJUOTLVAKLDKJ323A3A,0.454,0.0989,4,0.865,0,major,0.0322
Venus,B flat,114.883,0.576,-18.755,0.852,144483,1959,spotify:track:5kqXQHIgQ6UfFP9LfqPNgG,Billboard Hot 100 1959,JY531U2K50K1AGB6G7G2BOH7Y,0.347,0.124,4,0.85,0.599,major,0.0317
Lonely Boy,C,106.163,0.623,-9.923,0.352,151107,1959,spotify:track:4kh2S9hRpPvoF9JkwZcYGN,Billboard Hot 100 1959,PF3ZQRUA4FILUEWM61MR2T3LZ,0.605,0.101,3,0.804,0,major,0.0306
Dream Lover,F,131.715,0.526,-1.692,0.715,150706,1959,spotify:track:1KLpjQFgubHI3GkAICCNH3,Billboard Hot 100 1959,DSB4437GZFWP3GILDUTA1V8N5,0.774,0.437,4,0.715,0,major,0.0459
The Three Bells,G,106.488,0.47,-14.795,0.893,169573,1959,spotify:track:24SbmQo3XQkNLpSBYda4DA,Billboard Hot 100 1959,8J25QKYXA8K44UJPDGNDXVHI5,0.159,0.124,4,0.418,0,major,0.0403
Come Softly To Me,C#,122.975,0.601,-18.478,0.93,144933,1959,spotify:track:603N4XGJUTbK760GLCvIIs,Billboard Hot 100 1959,H7886MTXETAPABS4RB7L3FOIU,0.095,0.116,4,0.672,0.000285,major,0.0374
Kansas City,C#,114.979,0.727,-6.453,0.653,150333,1959,spotify:track:4GvyP7CnBJEV2t7L7vOkjw,Billboard Hot 100 1959,04TO1TPHV50JQMNI0JJFDPMHT,0.665,0.349,4,0.912,0.233,major,0.0352
Mr. Blue,E,96.677,0.374,-17.475,0.931,145133,1959,spotify:track:6bnFjTW3EnMG4BwreDnSHK,Billboard Hot 100 1959,DABK1QY9FDT1NLG96TMQWODT7,0.0889,0.111,4,0.211,6.88E-06,major,0.0356
Sleep Walk,B flat,94.675,0.779,-9.759,0.759,145333,1959,spotify:track:0yK8sWD6cfrc7pGfaPIcZH,Billboard Hot 100 1959,AH4UYZI0JB4BLGO719LQ7AMLP,0.212,0.235,3,0.444,0.959,minor,0.0362
Put Your Head On My Shoulder,E,115.838,0.547,-9.2,0.747,154733,1959,spotify:track:2DpJ9T2RVRanZcYFHKOAfA,Billboard Hot 100 1959,EAJIG0IZ26IIFJ8F9GWDODE9Q,0.335,0.101,3,0.474,0,minor,0.0307
Stagger Lee,E flat,69.835,0.396,-8.209,0.675,144960,1959,spotify:track:4MUGG9mgDUP8dlaS3AAeg0,Billboard Hot 100 1959,1O52NQME93W7V41TB1MGV1AKK,0.618,0.0982,4,0.824,0,major,0.0311
